buying,maint,doors,persons,lug_boot,safety,Class
vhigh,vhigh,A,A,small,low,unacc
vhigh,vhigh,A,A,small,med,unacc
vhigh,vhigh,A,A,small,high,unacc
vhigh,vhigh,A,A,med,low,unacc
vhigh,vhigh,A,A,med,med,unacc
vhigh,vhigh,A,A,med,high,unacc
vhigh,vhigh,A,A,big,low,unacc
vhigh,vhigh,A,A,big,med,unacc
vhigh,vhigh,A,A,big,high,unacc
vhigh,vhigh,A,B,small,low,unacc
vhigh,vhigh,A,B,small,med,unacc
vhigh,vhigh,A,B,small,high,unacc
vhigh,vhigh,A,B,med,low,unacc
vhigh,vhigh,A,B,med,med,unacc
vhigh,vhigh,A,B,med,high,unacc
vhigh,vhigh,A,B,big,low,unacc
vhigh,vhigh,A,B,big,med,unacc
vhigh,vhigh,A,B,big,high,unacc
vhigh,vhigh,A,C,small,low,unacc
vhigh,vhigh,A,C,small,med,unacc
vhigh,vhigh,A,C,small,high,unacc
vhigh,vhigh,A,C,med,low,unacc
vhigh,vhigh,A,C,med,med,unacc
vhigh,vhigh,A,C,med,high,unacc
vhigh,vhigh,A,C,big,low,unacc
vhigh,vhigh,A,C,big,med,unacc
vhigh,vhigh,A,C,big,high,unacc
vhigh,vhigh,B,A,small,low,unacc
vhigh,vhigh,B,A,small,med,unacc
vhigh,vhigh,B,A,small,high,unacc
vhigh,vhigh,B,A,med,low,unacc
vhigh,vhigh,B,A,med,med,unacc
vhigh,vhigh,B,A,med,high,unacc
vhigh,vhigh,B,A,big,low,unacc
vhigh,vhigh,B,A,big,med,unacc
vhigh,vhigh,B,A,big,high,unacc
vhigh,vhigh,B,B,small,low,unacc
vhigh,vhigh,B,B,small,med,unacc
vhigh,vhigh,B,B,small,high,unacc
vhigh,vhigh,B,B,med,low,unacc
vhigh,vhigh,B,B,med,med,unacc
vhigh,vhigh,B,B,med,high,unacc
vhigh,vhigh,B,B,big,low,unacc
vhigh,vhigh,B,B,big,med,unacc
vhigh,vhigh,B,B,big,high,unacc
vhigh,vhigh,B,C,small,low,unacc
vhigh,vhigh,B,C,small,med,unacc
vhigh,vhigh,B,C,small,high,unacc
vhigh,vhigh,B,C,med,low,unacc
vhigh,vhigh,B,C,med,med,unacc
vhigh,vhigh,B,C,med,high,unacc
vhigh,vhigh,B,C,big,low,unacc
vhigh,vhigh,B,C,big,med,unacc
vhigh,vhigh,B,C,big,high,unacc
vhigh,vhigh,C,A,small,low,unacc
vhigh,vhigh,C,A,small,med,unacc
vhigh,vhigh,C,A,small,high,unacc
vhigh,vhigh,C,A,med,low,unacc
vhigh,vhigh,C,A,med,med,unacc
vhigh,vhigh,C,A,med,high,unacc
vhigh,vhigh,C,A,big,low,unacc
vhigh,vhigh,C,A,big,med,unacc
vhigh,vhigh,C,A,big,high,unacc
vhigh,vhigh,C,B,small,low,unacc
vhigh,vhigh,C,B,small,med,unacc
vhigh,vhigh,C,B,small,high,unacc
vhigh,vhigh,C,B,med,low,unacc
vhigh,vhigh,C,B,med,med,unacc
vhigh,vhigh,C,B,med,high,unacc
vhigh,vhigh,C,B,big,low,unacc
vhigh,vhigh,C,B,big,med,unacc
vhigh,vhigh,C,B,big,high,unacc
vhigh,vhigh,C,C,small,low,unacc
vhigh,vhigh,C,C,small,med,unacc
vhigh,vhigh,C,C,small,high,unacc
vhigh,vhigh,C,C,med,low,unacc
vhigh,vhigh,C,C,med,med,unacc
vhigh,vhigh,C,C,med,high,unacc
vhigh,vhigh,C,C,big,low,unacc
vhigh,vhigh,C,C,big,med,unacc
vhigh,vhigh,C,C,big,high,unacc
vhigh,vhigh,D,A,small,low,unacc
vhigh,vhigh,D,A,small,med,unacc
vhigh,vhigh,D,A,small,high,unacc
vhigh,vhigh,D,A,med,low,unacc
vhigh,vhigh,D,A,med,med,unacc
vhigh,vhigh,D,A,med,high,unacc
vhigh,vhigh,D,A,big,low,unacc
vhigh,vhigh,D,A,big,med,unacc
vhigh,vhigh,D,A,big,high,unacc
vhigh,vhigh,D,B,small,low,unacc
vhigh,vhigh,D,B,small,med,unacc
vhigh,vhigh,D,B,small,high,unacc
vhigh,vhigh,D,B,med,low,unacc
vhigh,vhigh,D,B,med,med,unacc
vhigh,vhigh,D,B,med,high,unacc
vhigh,vhigh,D,B,big,low,unacc
vhigh,vhigh,D,B,big,med,unacc
vhigh,vhigh,D,B,big,high,unacc
vhigh,vhigh,D,C,small,low,unacc
vhigh,vhigh,D,C,small,med,unacc
vhigh,vhigh,D,C,small,high,unacc
vhigh,vhigh,D,C,med,low,unacc
vhigh,vhigh,D,C,med,med,unacc
vhigh,vhigh,D,C,med,high,unacc
vhigh,vhigh,D,C,big,low,unacc
vhigh,vhigh,D,C,big,med,unacc
vhigh,vhigh,D,C,big,high,unacc
vhigh,high,A,A,small,low,unacc
vhigh,high,A,A,small,med,unacc
vhigh,high,A,A,small,high,unacc
vhigh,high,A,A,med,low,unacc
vhigh,high,A,A,med,med,unacc
vhigh,high,A,A,med,high,unacc
vhigh,high,A,A,big,low,unacc
vhigh,high,A,A,big,med,unacc
vhigh,high,A,A,big,high,unacc
vhigh,high,A,B,small,low,unacc
vhigh,high,A,B,small,med,unacc
vhigh,high,A,B,small,high,unacc
vhigh,high,A,B,med,low,unacc
vhigh,high,A,B,med,med,unacc
vhigh,high,A,B,med,high,unacc
vhigh,high,A,B,big,low,unacc
vhigh,high,A,B,big,med,unacc
vhigh,high,A,B,big,high,unacc
vhigh,high,A,C,small,low,unacc
vhigh,high,A,C,small,med,unacc
vhigh,high,A,C,small,high,unacc
vhigh,high,A,C,med,low,unacc
vhigh,high,A,C,med,med,unacc
vhigh,high,A,C,med,high,unacc
vhigh,high,A,C,big,low,unacc
vhigh,high,A,C,big,med,unacc
vhigh,high,A,C,big,high,unacc
vhigh,high,B,A,small,low,unacc
vhigh,high,B,A,small,med,unacc
vhigh,high,B,A,small,high,unacc
vhigh,high,B,A,med,low,unacc
vhigh,high,B,A,med,med,unacc
vhigh,high,B,A,med,high,unacc
vhigh,high,B,A,big,low,unacc
vhigh,high,B,A,big,med,unacc
vhigh,high,B,A,big,high,unacc
vhigh,high,B,B,small,low,unacc
vhigh,high,B,B,small,med,unacc
vhigh,high,B,B,small,high,unacc
vhigh,high,B,B,med,low,unacc
vhigh,high,B,B,med,med,unacc
vhigh,high,B,B,med,high,unacc
vhigh,high,B,B,big,low,unacc
vhigh,high,B,B,big,med,unacc
vhigh,high,B,B,big,high,unacc
vhigh,high,B,C,small,low,unacc
vhigh,high,B,C,small,med,unacc
vhigh,high,B,C,small,high,unacc
vhigh,high,B,C,med,low,unacc
vhigh,high,B,C,med,med,unacc
vhigh,high,B,C,med,high,unacc
vhigh,high,B,C,big,low,unacc
vhigh,high,B,C,big,med,unacc
vhigh,high,B,C,big,high,unacc
vhigh,high,C,A,small,low,unacc
vhigh,high,C,A,small,med,unacc
vhigh,high,C,A,small,high,unacc
vhigh,high,C,A,med,low,unacc
vhigh,high,C,A,med,med,unacc
vhigh,high,C,A,med,high,unacc
vhigh,high,C,A,big,low,unacc
vhigh,high,C,A,big,med,unacc
vhigh,high,C,A,big,high,unacc
vhigh,high,C,B,small,low,unacc
vhigh,high,C,B,small,med,unacc
vhigh,high,C,B,small,high,unacc
vhigh,high,C,B,med,low,unacc
vhigh,high,C,B,med,med,unacc
vhigh,high,C,B,med,high,unacc
vhigh,high,C,B,big,low,unacc
vhigh,high,C,B,big,med,unacc
vhigh,high,C,B,big,high,unacc
vhigh,high,C,C,small,low,unacc
vhigh,high,C,C,small,med,unacc
vhigh,high,C,C,small,high,unacc
vhigh,high,C,C,med,low,unacc
vhigh,high,C,C,med,med,unacc
vhigh,high,C,C,med,high,unacc
vhigh,high,C,C,big,low,unacc
vhigh,high,C,C,big,med,unacc
vhigh,high,C,C,big,high,unacc
vhigh,high,D,A,small,low,unacc
vhigh,high,D,A,small,med,unacc
vhigh,high,D,A,small,high,unacc
vhigh,high,D,A,med,low,unacc
vhigh,high,D,A,med,med,unacc
vhigh,high,D,A,med,high,unacc
vhigh,high,D,A,big,low,unacc
vhigh,high,D,A,big,med,unacc
vhigh,high,D,A,big,high,unacc
vhigh,high,D,B,small,low,unacc
vhigh,high,D,B,small,med,unacc
vhigh,high,D,B,small,high,unacc
vhigh,high,D,B,med,low,unacc
vhigh,high,D,B,med,med,unacc
vhigh,high,D,B,med,high,unacc
vhigh,high,D,B,big,low,unacc
vhigh,high,D,B,big,med,unacc
vhigh,high,D,B,big,high,unacc
vhigh,high,D,C,small,low,unacc
vhigh,high,D,C,small,med,unacc
vhigh,high,D,C,small,high,unacc
vhigh,high,D,C,med,low,unacc
vhigh,high,D,C,med,med,unacc
vhigh,high,D,C,med,high,unacc
vhigh,high,D,C,big,low,unacc
vhigh,high,D,C,big,med,unacc
vhigh,high,D,C,big,high,unacc
vhigh,med,A,A,small,low,unacc
vhigh,med,A,A,small,med,unacc
vhigh,med,A,A,small,high,unacc
vhigh,med,A,A,med,low,unacc
vhigh,med,A,A,med,med,unacc
vhigh,med,A,A,med,high,unacc
vhigh,med,A,A,big,low,unacc
vhigh,med,A,A,big,med,unacc
vhigh,med,A,A,big,high,unacc
vhigh,med,A,B,small,low,unacc
vhigh,med,A,B,small,med,unacc
vhigh,med,A,B,small,high,acc
vhigh,med,A,B,med,low,unacc
vhigh,med,A,B,med,med,unacc
vhigh,med,A,B,med,high,acc
vhigh,med,A,B,big,low,unacc
vhigh,med,A,B,big,med,acc
vhigh,med,A,B,big,high,acc
vhigh,med,A,C,small,low,unacc
vhigh,med,A,C,small,med,unacc
vhigh,med,A,C,small,high,unacc
vhigh,med,A,C,med,low,unacc
vhigh,med,A,C,med,med,unacc
vhigh,med,A,C,med,high,acc
vhigh,med,A,C,big,low,unacc
vhigh,med,A,C,big,med,acc
vhigh,med,A,C,big,high,acc
vhigh,med,B,A,small,low,unacc
vhigh,med,B,A,small,med,unacc
vhigh,med,B,A,small,high,unacc
vhigh,med,B,A,med,low,unacc
vhigh,med,B,A,med,med,unacc
vhigh,med,B,A,med,high,unacc
vhigh,med,B,A,big,low,unacc
vhigh,med,B,A,big,med,unacc
vhigh,med,B,A,big,high,unacc
vhigh,med,B,B,small,low,unacc
vhigh,med,B,B,small,med,unacc
vhigh,med,B,B,small,high,acc
vhigh,med,B,B,med,low,unacc
vhigh,med,B,B,med,med,unacc
vhigh,med,B,B,med,high,acc
vhigh,med,B,B,big,low,unacc
vhigh,med,B,B,big,med,acc
vhigh,med,B,B,big,high,acc
vhigh,med,B,C,small,low,unacc
vhigh,med,B,C,small,med,unacc
vhigh,med,B,C,small,high,acc
vhigh,med,B,C,med,low,unacc
vhigh,med,B,C,med,med,acc
vhigh,med,B,C,med,high,acc
vhigh,med,B,C,big,low,unacc
vhigh,med,B,C,big,med,acc
vhigh,med,B,C,big,high,acc
vhigh,med,C,A,small,low,unacc
vhigh,med,C,A,small,med,unacc
vhigh,med,C,A,small,high,unacc
vhigh,med,C,A,med,low,unacc
vhigh,med,C,A,med,med,unacc
vhigh,med,C,A,med,high,unacc
vhigh,med,C,A,big,low,unacc
vhigh,med,C,A,big,med,unacc
vhigh,med,C,A,big,high,unacc
vhigh,med,C,B,small,low,unacc
vhigh,med,C,B,small,med,unacc
vhigh,med,C,B,small,high,acc
vhigh,med,C,B,med,low,unacc
vhigh,med,C,B,med,med,acc
vhigh,med,C,B,med,high,acc
vhigh,med,C,B,big,low,unacc
vhigh,med,C,B,big,med,acc
vhigh,med,C,B,big,high,acc
vhigh,med,C,C,small,low,unacc
vhigh,med,C,C,small,med,unacc
vhigh,med,C,C,small,high,acc
vhigh,med,C,C,med,low,unacc
vhigh,med,C,C,med,med,acc
vhigh,med,C,C,med,high,acc
vhigh,med,C,C,big,low,unacc
vhigh,med,C,C,big,med,acc
vhigh,med,C,C,big,high,acc
vhigh,med,D,A,small,low,unacc
vhigh,med,D,A,small,med,unacc
vhigh,med,D,A,small,high,unacc
vhigh,med,D,A,med,low,unacc
vhigh,med,D,A,med,med,unacc
vhigh,med,D,A,med,high,unacc
vhigh,med,D,A,big,low,unacc
vhigh,med,D,A,big,med,unacc
vhigh,med,D,A,big,high,unacc
vhigh,med,D,B,small,low,unacc
vhigh,med,D,B,small,med,unacc
vhigh,med,D,B,small,high,acc
vhigh,med,D,B,med,low,unacc
vhigh,med,D,B,med,med,acc
vhigh,med,D,B,med,high,acc
vhigh,med,D,B,big,low,unacc
vhigh,med,D,B,big,med,acc
vhigh,med,D,B,big,high,acc
vhigh,med,D,C,small,low,unacc
vhigh,med,D,C,small,med,unacc
vhigh,med,D,C,small,high,acc
vhigh,med,D,C,med,low,unacc
vhigh,med,D,C,med,med,acc
vhigh,med,D,C,med,high,acc
vhigh,med,D,C,big,low,unacc
vhigh,med,D,C,big,med,acc
vhigh,med,D,C,big,high,acc
vhigh,low,A,A,small,low,unacc
vhigh,low,A,A,small,med,unacc
vhigh,low,A,A,small,high,unacc
vhigh,low,A,A,med,low,unacc
vhigh,low,A,A,med,med,unacc
vhigh,low,A,A,med,high,unacc
vhigh,low,A,A,big,low,unacc
vhigh,low,A,A,big,med,unacc
vhigh,low,A,A,big,high,unacc
vhigh,low,A,B,small,low,unacc
vhigh,low,A,B,small,med,unacc
vhigh,low,A,B,small,high,acc
vhigh,low,A,B,med,low,unacc
vhigh,low,A,B,med,med,unacc
vhigh,low,A,B,med,high,acc
vhigh,low,A,B,big,low,unacc
vhigh,low,A,B,big,med,acc
vhigh,low,A,B,big,high,acc
vhigh,low,A,C,small,low,unacc
vhigh,low,A,C,small,med,unacc
vhigh,low,A,C,small,high,unacc
vhigh,low,A,C,med,low,unacc
vhigh,low,A,C,med,med,unacc
vhigh,low,A,C,med,high,acc
vhigh,low,A,C,big,low,unacc
vhigh,low,A,C,big,med,acc
vhigh,low,A,C,big,high,acc
vhigh,low,B,A,small,low,unacc
vhigh,low,B,A,small,med,unacc
vhigh,low,B,A,small,high,unacc
vhigh,low,B,A,med,low,unacc
vhigh,low,B,A,med,med,unacc
vhigh,low,B,A,med,high,unacc
vhigh,low,B,A,big,low,unacc
vhigh,low,B,A,big,med,unacc
vhigh,low,B,A,big,high,unacc
vhigh,low,B,B,small,low,unacc
vhigh,low,B,B,small,med,unacc
vhigh,low,B,B,small,high,acc
vhigh,low,B,B,med,low,unacc
vhigh,low,B,B,med,med,unacc
vhigh,low,B,B,med,high,acc
vhigh,low,B,B,big,low,unacc
vhigh,low,B,B,big,med,acc
vhigh,low,B,B,big,high,acc
vhigh,low,B,C,small,low,unacc
vhigh,low,B,C,small,med,unacc
vhigh,low,B,C,small,high,acc
vhigh,low,B,C,med,low,unacc
vhigh,low,B,C,med,med,acc
vhigh,low,B,C,med,high,acc
vhigh,low,B,C,big,low,unacc
vhigh,low,B,C,big,med,acc
vhigh,low,B,C,big,high,acc
vhigh,low,C,A,small,low,unacc
vhigh,low,C,A,small,med,unacc
vhigh,low,C,A,small,high,unacc
vhigh,low,C,A,med,low,unacc
vhigh,low,C,A,med,med,unacc
vhigh,low,C,A,med,high,unacc
vhigh,low,C,A,big,low,unacc
vhigh,low,C,A,big,med,unacc
vhigh,low,C,A,big,high,unacc
vhigh,low,C,B,small,low,unacc
vhigh,low,C,B,small,med,unacc
vhigh,low,C,B,small,high,acc
vhigh,low,C,B,med,low,unacc
vhigh,low,C,B,med,med,acc
vhigh,low,C,B,med,high,acc
vhigh,low,C,B,big,low,unacc
vhigh,low,C,B,big,med,acc
vhigh,low,C,B,big,high,acc
vhigh,low,C,C,small,low,unacc
vhigh,low,C,C,small,med,unacc
vhigh,low,C,C,small,high,acc
vhigh,low,C,C,med,low,unacc
vhigh,low,C,C,med,med,acc
vhigh,low,C,C,med,high,acc
vhigh,low,C,C,big,low,unacc
vhigh,low,C,C,big,med,acc
vhigh,low,C,C,big,high,acc
vhigh,low,D,A,small,low,unacc
vhigh,low,D,A,small,med,unacc
vhigh,low,D,A,small,high,unacc
vhigh,low,D,A,med,low,unacc
vhigh,low,D,A,med,med,unacc
vhigh,low,D,A,med,high,unacc
vhigh,low,D,A,big,low,unacc
vhigh,low,D,A,big,med,unacc
vhigh,low,D,A,big,high,unacc
vhigh,low,D,B,small,low,unacc
vhigh,low,D,B,small,med,unacc
vhigh,low,D,B,small,high,acc
vhigh,low,D,B,med,low,unacc
vhigh,low,D,B,med,med,acc
vhigh,low,D,B,med,high,acc
vhigh,low,D,B,big,low,unacc
vhigh,low,D,B,big,med,acc
vhigh,low,D,B,big,high,acc
vhigh,low,D,C,small,low,unacc
vhigh,low,D,C,small,med,unacc
vhigh,low,D,C,small,high,acc
vhigh,low,D,C,med,low,unacc
vhigh,low,D,C,med,med,acc
vhigh,low,D,C,med,high,acc
vhigh,low,D,C,big,low,unacc
vhigh,low,D,C,big,med,acc
vhigh,low,D,C,big,high,acc
high,vhigh,A,A,small,low,unacc
high,vhigh,A,A,small,med,unacc
high,vhigh,A,A,small,high,unacc
high,vhigh,A,A,med,low,unacc
high,vhigh,A,A,med,med,unacc
high,vhigh,A,A,med,high,unacc
high,vhigh,A,A,big,low,unacc
high,vhigh,A,A,big,med,unacc
high,vhigh,A,A,big,high,unacc
high,vhigh,A,B,small,low,unacc
high,vhigh,A,B,small,med,unacc
high,vhigh,A,B,small,high,unacc
high,vhigh,A,B,med,low,unacc
high,vhigh,A,B,med,med,unacc
high,vhigh,A,B,med,high,unacc
high,vhigh,A,B,big,low,unacc
high,vhigh,A,B,big,med,unacc
high,vhigh,A,B,big,high,unacc
high,vhigh,A,C,small,low,unacc
high,vhigh,A,C,small,med,unacc
high,vhigh,A,C,small,high,unacc
high,vhigh,A,C,med,low,unacc
high,vhigh,A,C,med,med,unacc
high,vhigh,A,C,med,high,unacc
high,vhigh,A,C,big,low,unacc
high,vhigh,A,C,big,med,unacc
high,vhigh,A,C,big,high,unacc
high,vhigh,B,A,small,low,unacc
high,vhigh,B,A,small,med,unacc
high,vhigh,B,A,small,high,unacc
high,vhigh,B,A,med,low,unacc
high,vhigh,B,A,med,med,unacc
high,vhigh,B,A,med,high,unacc
high,vhigh,B,A,big,low,unacc
high,vhigh,B,A,big,med,unacc
high,vhigh,B,A,big,high,unacc
high,vhigh,B,B,small,low,unacc
high,vhigh,B,B,small,med,unacc
high,vhigh,B,B,small,high,unacc
high,vhigh,B,B,med,low,unacc
high,vhigh,B,B,med,med,unacc
high,vhigh,B,B,med,high,unacc
high,vhigh,B,B,big,low,unacc
high,vhigh,B,B,big,med,unacc
high,vhigh,B,B,big,high,unacc
high,vhigh,B,C,small,low,unacc
high,vhigh,B,C,small,med,unacc
high,vhigh,B,C,small,high,unacc
high,vhigh,B,C,med,low,unacc
high,vhigh,B,C,med,med,unacc
high,vhigh,B,C,med,high,unacc
high,vhigh,B,C,big,low,unacc
high,vhigh,B,C,big,med,unacc
high,vhigh,B,C,big,high,unacc
high,vhigh,C,A,small,low,unacc
high,vhigh,C,A,small,med,unacc
high,vhigh,C,A,small,high,unacc
high,vhigh,C,A,med,low,unacc
high,vhigh,C,A,med,med,unacc
high,vhigh,C,A,med,high,unacc
high,vhigh,C,A,big,low,unacc
high,vhigh,C,A,big,med,unacc
high,vhigh,C,A,big,high,unacc
high,vhigh,C,B,small,low,unacc
high,vhigh,C,B,small,med,unacc
high,vhigh,C,B,small,high,unacc
high,vhigh,C,B,med,low,unacc
high,vhigh,C,B,med,med,unacc
high,vhigh,C,B,med,high,unacc
high,vhigh,C,B,big,low,unacc
high,vhigh,C,B,big,med,unacc
high,vhigh,C,B,big,high,unacc
high,vhigh,C,C,small,low,unacc
high,vhigh,C,C,small,med,unacc
high,vhigh,C,C,small,high,unacc
high,vhigh,C,C,med,low,unacc
high,vhigh,C,C,med,med,unacc
high,vhigh,C,C,med,high,unacc
high,vhigh,C,C,big,low,unacc
high,vhigh,C,C,big,med,unacc
high,vhigh,C,C,big,high,unacc
high,vhigh,D,A,small,low,unacc
high,vhigh,D,A,small,med,unacc
high,vhigh,D,A,small,high,unacc
high,vhigh,D,A,med,low,unacc
high,vhigh,D,A,med,med,unacc
high,vhigh,D,A,med,high,unacc
high,vhigh,D,A,big,low,unacc
high,vhigh,D,A,big,med,unacc
high,vhigh,D,A,big,high,unacc
high,vhigh,D,B,small,low,unacc
high,vhigh,D,B,small,med,unacc
high,vhigh,D,B,small,high,unacc
high,vhigh,D,B,med,low,unacc
high,vhigh,D,B,med,med,unacc
high,vhigh,D,B,med,high,unacc
high,vhigh,D,B,big,low,unacc
high,vhigh,D,B,big,med,unacc
high,vhigh,D,B,big,high,unacc
high,vhigh,D,C,small,low,unacc
high,vhigh,D,C,small,med,unacc
high,vhigh,D,C,small,high,unacc
high,vhigh,D,C,med,low,unacc
high,vhigh,D,C,med,med,unacc
high,vhigh,D,C,med,high,unacc
high,vhigh,D,C,big,low,unacc
high,vhigh,D,C,big,med,unacc
high,vhigh,D,C,big,high,unacc
high,high,A,A,small,low,unacc
high,high,A,A,small,med,unacc
high,high,A,A,small,high,unacc
high,high,A,A,med,low,unacc
high,high,A,A,med,med,unacc
high,high,A,A,med,high,unacc
